task,model_name,split,accuracy,macro_f1,weighted_f1,train_time_sec,predict_time_sec,num_train_samples,num_eval_samples,model_path
sentiment,majority_class,dev,0.5085281111813014,0.2247347850362926,0.34285186725372496,0.006510899984277785,0.0001846000086516142,11426,1583,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib
sentiment,majority_class,test,0.5022109917877448,0.22287636669470143,0.33579288349138525,0.006510899984277785,0.00016420002793893218,11426,3166,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\majority_class.joblib
sentiment,tfidf_word_svm,dev,0.9109286165508528,0.7680483540968807,0.908650849587839,1.0087181000271812,0.07042769994586706,11426,1583,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib
sentiment,tfidf_word_svm,test,0.8919772583701832,0.7289041804941077,0.8869996271404461,1.0087181000271812,0.14496819995110855,11426,3166,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_word_svm.joblib
sentiment,tfidf_char_svm,dev,0.8989260897030954,0.7706402421215786,0.9027313149551408,2.615756799990777,0.19014540000353009,11426,1583,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib
sentiment,tfidf_char_svm,test,0.873973468098547,0.7353507893242824,0.8755152646032306,2.615756799990777,0.43487560003995895,11426,3166,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\sentiment\tfidf_char_svm.joblib
topic,majority_class,dev,0.7271004421983576,0.21049743964886614,0.6122111258012506,0.010165499988943338,0.0001750999945215881,11426,1583,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib
topic,majority_class,test,0.7233101705622236,0.20986070381231672,0.6071775258751805,0.010165499988943338,0.0001495999749749899,11426,3166,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\majority_class.joblib
topic,tfidf_word_svm,dev,0.86481364497789,0.7614813641461614,0.8656953420318806,0.9539550000336021,0.0702018000301905,11426,1583,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib
topic,tfidf_word_svm,test,0.8584965255843335,0.7509224329491841,0.8598470959343006,0.9539550000336021,0.13125840004067868,11426,3166,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_word_svm.joblib
topic,tfidf_char_svm,dev,0.831964624131396,0.7240862336909459,0.8375398903831621,2.825720300024841,0.19339640001999214,11426,1583,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib
topic,tfidf_char_svm,test,0.8325963360707518,0.7298992611100819,0.839645204872686,2.825720300024841,0.4343702000332996,11426,3166,d:\project-ml-engineering\nlp-phobert-student-feedback\models\baselines\topic\tfidf_char_svm.joblib
