task,model_type,model_name,noise_type,evaluation_scope,clean_macro_f1,noisy_macro_f1,absolute_macro_f1_drop,relative_macro_f1_drop_pct,clean_accuracy,noisy_accuracy,absolute_accuracy_drop
sentiment,phobert,phobert_base,no_accent,full,0.8294712459287469,0.3165296133503705,0.5129416325783764,61.83959179971853,0.932406822488945,0.35881238155401135,0.5735944409349336
sentiment,phobert,phobert_base,no_accent,changed_only,0.8294712459287469,0.316264838910467,0.5132064070182798,61.8715126699359,0.932406822488945,0.3586337760910816,0.5737730463978634
sentiment,phobert,phobert_base,domain_abbreviation,full,0.8294712459287469,0.8257466563256378,0.003724589603109063,0.4490317924087524,0.932406822488945,0.9279848389134555,0.004421983575489508
sentiment,phobert,phobert_base,domain_abbreviation,changed_only,0.8294712459287469,0.8228264987771748,0.006644747151572039,0.8010822779193525,0.932406822488945,0.9326797385620915,-0.0002729160731465008
sentiment,phobert,phobert_base,teencode_colloquial,full,0.8294712459287469,0.8057543163992053,0.02371692952954163,2.8592829041332384,0.932406822488945,0.9181933038534428,0.014213518635502242
sentiment,phobert,phobert_base,teencode_colloquial,changed_only,0.8294712459287469,0.7545152578303004,0.0749559880984465,9.036598732789027,0.932406822488945,0.9110966904607398,0.021310132028205198
sentiment,phobert,phobert_base,typo,full,0.8294712459287469,0.784816318732175,0.044654927196571936,5.383541312100875,0.932406822488945,0.9001895135818067,0.032217308907138364
sentiment,phobert,phobert_base,typo,changed_only,0.8294712459287469,0.7775114827868421,0.05195976314190476,6.264203056698628,0.932406822488945,0.9007807417046194,0.031626080784325605
sentiment,phobert,phobert_base,elongation,full,0.8294712459287469,0.7994698492947471,0.03000139663399981,3.6169302771198155,0.932406822488945,0.9181933038534428,0.014213518635502242
sentiment,phobert,phobert_base,elongation,changed_only,0.8294712459287469,0.7984842802574269,0.030986965671319977,3.7357492286094045,0.932406822488945,0.918141592920354,0.014265229568590998
sentiment,phobert,phobert_base,mixed_noise,full,0.8294712459287469,0.7708418744119867,0.058629371516760176,7.0682825721238505,0.932406822488945,0.8916614024005054,0.04074542008843962
sentiment,phobert,phobert_base,mixed_noise,changed_only,0.8294712459287469,0.7685316591149071,0.06093958681383982,7.346799194420134,0.932406822488945,0.8918660287081339,0.0405407937808111
topic,phobert,phobert_base,no_accent,full,0.8051778901407499,0.2629952574533478,0.5421826326874022,67.3369996029853,0.8992419456727733,0.4718888186986734,0.4273531269740999
topic,phobert,phobert_base,no_accent,changed_only,0.8051778901407499,0.26237823914513225,0.5427996509956177,67.41363090592726,0.8992419456727733,0.4715370018975332,0.42770494377524004
topic,phobert,phobert_base,domain_abbreviation,full,0.8051778901407499,0.7417032725450039,0.06347461759574602,7.883303599487844,0.8992419456727733,0.8515476942514214,0.04769425142135186
topic,phobert,phobert_base,domain_abbreviation,changed_only,0.8051778901407499,0.6340537421677448,0.17112414797300513,21.252961621076256,0.8992419456727733,0.8117647058823529,0.08747723979042032
topic,phobert,phobert_base,teencode_colloquial,full,0.8051778901407499,0.7941062001176223,0.011071690023127578,1.3750613570862185,0.8992419456727733,0.8963992419456728,0.002842703727100493
topic,phobert,phobert_base,teencode_colloquial,changed_only,0.8051778901407499,0.7917618411340472,0.01341604900670268,1.6662217344737913,0.8992419456727733,0.8968202465931213,0.002421699079651951
topic,phobert,phobert_base,typo,full,0.8051778901407499,0.7644556502410857,0.04072223989966417,5.0575457173253575,0.8992419456727733,0.868603916614024,0.03063802905874924
topic,phobert,phobert_base,typo,changed_only,0.8051778901407499,0.7548610784161752,0.050316811724574695,6.2491546701287355,0.8992419456727733,0.8702016916070267,0.029040254065746618
topic,phobert,phobert_base,elongation,full,0.8051778901407499,0.7798332763191875,0.02534461382156239,3.1477036480884983,0.8992419456727733,0.8862918509159823,0.012950094756790986
topic,phobert,phobert_base,elongation,changed_only,0.8051778901407499,0.7780227000564668,0.027155190084283132,3.372570262645468,0.8992419456727733,0.8862199747155499,0.01302197095722335
topic,phobert,phobert_base,mixed_noise,full,0.8051778901407499,0.709939560590719,0.09523832955003086,11.828234569802039,0.8992419456727733,0.8243840808591283,0.07485786481364498
topic,phobert,phobert_base,mixed_noise,changed_only,0.8051778901407499,0.7076730359910779,0.09750485414967203,12.109728215789382,0.8992419456727733,0.8248803827751197,0.07436156289765361
